id,name,type,rarity,cost_ap,effect_1,value_1,effect_2,value_2,keyword,status,tag,scene,flavor_text,art_id,note
c001,划界,aggressive,common,1,intent_up,10,,,,,new_future,entry,门链扣上的声音比你记得的响,card_c001,门厅·门锁
c002,战斗反应,aggressive,common,2,intent_up,14,damage_reduce,3,,护住,old_memory,corridor,球棒比你以为的重,card_c002,走廊·球棒
c003,外化,aggressive,common,1,intent_up,9,draw,1,,,new_future,bedroom,你第一次把声音还回去,card_c003,卧室
c004,断裂,aggressive,common,2,intent_up,12,,,,,old_memory,entry,整座房子一起黑下来,card_c004,门厅·电闸
c005,强迫性重复,aggressive,common,2,intent_up,13,window_down,2,执念,,old_memory,corridor,木头裂开的声音像骨头,card_c005,走廊·柜子
c006,过度警觉,aggressive,common,1,intent_up,11,,,连锁,,old_memory,corridor,一级、两级、三级，你数得比心跳快,card_c006,走廊·楼梯
c007,防御机制,aggressive,rare,3,intent_up,18,damage_reduce,0.5,,护住,old_memory,corridor,你用整个身体顶住那扇门,card_c007,走廊·尽头的门
c008,求助信号,aggressive,rare,2,intent_up,15,preview,1,预感,,new_future,bedroom,雨声里你喊了第一声救命,card_c008,卧室·窗
c009,现实检验,aggressive,rare,3,intent_up,16,conditional_heal,6,,,new_future,entry,你按下了三个数字手在抖,card_c009,门厅·电话；条件：本回合结束时仍在耐受窗内
c010,冻结反应,conservative,common,0,intent_down,8,,,,,old_memory,bedroom,你数着心跳等脚步过去,card_c010,卧室·床下
c011,退行,conservative,common,1,intent_down,12,conditional_heal,2,,,old_memory,bedroom,床底的灰比记忆里更厚,card_c011,卧室·床下；条件：本回合结束时仍在窗内
c012,解离,conservative,common,0,intent_down,7,draw,1,,,old_memory,bedroom,看不见就还没发生,card_c012,卧室
c013,伪装,conservative,common,1,intent_down,10,preview,1,预感,,old_memory,bedroom,你把呼吸放慢慢到不像自己,card_c013,卧室·床
c014,压抑,conservative,common,2,intent_down,13,window_up,2,,,old_memory,corridor,钥匙转了一圈你把声音留在里面,card_c014,走廊·柜子
c015,回避,conservative,common,1,intent_down,9,window_up,2,,,old_memory,bedroom,衣服的味道把你包起来,card_c015,卧室·衣柜
c016,降噪,conservative,rare,2,intent_down,15,damage_reduce,0.5,,护住,new_future,corridor,你知道哪一块地板会响,card_c016,走廊·楼梯
c017,感觉门控,conservative,rare,2,intent_down,16,status_clear,1,,,old_memory,bedroom,声音进不来画面却更清楚,card_c017,卧室
c018,安全基地,conservative,rare,3,intent_down,14,damage_reduce,5,,护住,new_future,entry,你把所有能推的东西都推到了门后,card_c018,门厅·门锁
c019,接地,neutral,common,0,window_up,4,,,,,new_future,any,吸气四拍呼气六拍,card_c019,通用
c020,锚定,neutral,common,1,preview,1,draw,1,预感,,new_future,any,一二三你还在,card_c020,通用
c021,情绪命名,neutral,common,1,heal_stake,6,,,,,new_future,any,你在心里说我怕,card_c021,通用
c022,元认知,neutral,common,0,draw,2,,,,,old_memory,corridor,你记得每一个角落的位置,card_c022,走廊
c023,认知重评,neutral,common,1,status_clear,1,draw,1,,,new_future,any,你把倒下的东西一件件扶起来,card_c023,通用
c024,客体恒常,neutral,rare,1,window_up,3,preview,1,预感,,old_memory,bedroom,她叫你吃饭的声音比记忆里轻,card_c024,卧室
c025,自我关怀,neutral,rare,2,lock_value,1,heal_stake,4,,,new_future,any,你把这句话说给自己听,card_c025,通用
c026,安全意象,neutral,rare,2,window_up,6,damage_reduce,3,,护住,new_future,bedroom,你想过天亮之后要做什么,card_c026,卧室·窗
c027,叙事重构,neutral,rare,3,lock_value,1,,,,,new_future,any,你在纸上写今天我活下来了,card_c027,通用；lock_value 表示把当前意图值固定到耐受窗中央
c028,赋义,neutral,rare,3,damage_reduce,0,intent_up,10,执念,,new_future,bedroom,你允许自己有一个明天,card_c028,本回合出窗伤害归零；下回合意图 +10
